enzyme,color,Protein accession number,Environment group,Exact sampling location,lat,lon
PETase (UUT36764.1),#E69F00,WP_483324068.1,Deep-sea / chemosynthetic sediment⬟,"Arctic Ocean: Gakkel Ridge, depth 0.74 mbsf, 73.763167 N 8.464000 E | Arctic Ocean: Gakkel Ridge, 73.763167 N 8.464000 E | Russia: The Pechora Sea, 69.03 N 57.37 E | Russia: The Pechora Sea, 69.03 N 57.36 E | Canada: Arctic Ocean, Dease Strait, depth 2.5 m, 69.03 N 105.33 W | Antarctica: Ardley Cove, Fildes Peninsula, King George Island, depth 0 m, 62.22 S 58.91 W",-62.22,-58.91
PETase (UUT36764.1),#E69F00,WP_425056760.1,Plastisphere / marine biofilm✕,"China: Qingdao, depth 1, 36.04 N 120.26 E",36.04,120.26
PETase (UUT36764.1),#E69F00,WP_432569504.1,Marine host-associated⬡,"China, depth 1m-1.5m, 19.31 N 109.34 E",19.31,109.34
PETase (UUT36764.1),#E69F00,WP_432569505.1,Marine host-associated⬡,"China, depth 1m-1.5m, 19.31 N 109.34 E",19.31,109.34
PETase (UUT36764.1),#E69F00,WP_335605360.1,Marine sediment■,"Russia: The Pechora Sea, 69.03 N 57.37 E",69.03,57.37
PETase (UUT36764.1),#E69F00,WP_169406150.1,Deep seawater▼,China: Nanhai,18.0,116.0
PETase (UUT36764.1),#E69F00,WP_223655417.1,Deep-sea / chemosynthetic sediment⬟,China: the South China Sea,18.0,116.0
PETase (UUT36764.1),#E69F00,WP_483324067.1,Intertidal / coastal seawater★,"Russia: The Pechora Sea, 69.03 N 57.37 E | Canada: Arctic Ocean, Dease Strait, depth 2.5 m, 69.03 N 105.33 W | Antarctica: Ardley Cove, Fildes Peninsula, King George Island, depth 0 m, 62.22 S 58.91 W",69.03,57.37
PETase (UUT36764.1),#E69F00,WP_483324067.1,Intertidal / coastal seawater★,"Russia: The Pechora Sea, 69.03 N 57.37 E | Canada: Arctic Ocean, Dease Strait, depth 2.5 m, 69.03 N 105.33 W | Antarctica: Ardley Cove, Fildes Peninsula, King George Island, depth 0 m, 62.22 S 58.91 W",69.03,-105.33
PETase (UUT36764.1),#E69F00,WP_483324067.1,Intertidal / coastal seawater★,"Russia: The Pechora Sea, 69.03 N 57.37 E | Canada: Arctic Ocean, Dease Strait, depth 2.5 m, 69.03 N 105.33 W | Antarctica: Ardley Cove, Fildes Peninsula, King George Island, depth 0 m, 62.22 S 58.91 W",-62.22,-58.91
PETase (UUT36764.1),#E69F00,WP_118131888.1,Deep-sea / chemosynthetic sediment⬟,"Mexico: Gulf of California, Big Pagoda, Millenium Falcon, depth 1971, 27.01 N 111.41 W | Spain: Galicia, Carnota municipality, 42.774797 N 9.124189 W | Pacific Ocean",27.01,-111.41
PETase (UUT36764.1),#E69F00,WP_118131888.1,Deep-sea / chemosynthetic sediment⬟,"Mexico: Gulf of California, Big Pagoda, Millenium Falcon, depth 1971, 27.01 N 111.41 W | Spain: Galicia, Carnota municipality, 42.774797 N 9.124189 W | Pacific Ocean",42.774797,-9.124189
PETase (UUT36764.1),#E69F00,WP_373184602.1,Intertidal sediment / beach sand▲,"China: ZhouShan, 29.928 N 122.422 E",29.928,122.422
PETase (UUT36764.1),#E69F00,WP_487154109.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea, depth 7.7, 34.365 N 133.217 E",34.365,133.217
PETase (UUT36764.1),#E69F00,WP_487155282.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea, depth 7.7, 34.365 N 133.217 E",34.365,133.217
PETase (UUT36764.1),#E69F00,WP_335610198.1,Marine sediment■,"Arctic Ocean: The Barents Sea, 78.20 N 42.10 E",78.2,42.1
PETase (UUT36764.1),#E69F00,WP_487156170.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea, depth 7.7, 34.365 N 133.217 E",34.365,133.217
PETase (UUT36764.1),#E69F00,WP_150300936.1,Intertidal / coastal seawater★,"Canada: Logy Bay | Arctic Ocean: The Barents Sea, 78.39 N 42.11 E | China",78.39,42.11
PETase (UUT36764.1),#E69F00,WP_373185656.1,Intertidal sediment / beach sand▲,"China: ZhouShan, 29.928 N 122.422 E",29.928,122.422
PETase (UUT36764.1),#E69F00,WP_464382426.1,Surface seawater●,"Japan:Kanagawa, depth 0 m, 35.1955708 N 139.6673981 E",35.1955708,139.6673981
PETase (UUT36764.1),#E69F00,WP_285677831.1,Marine host-associated⬡,"Brazil: Buzios, Rio de Janeiro, 22.74 S 41.88 W",-22.74,-41.88
PETase (UUT36764.1),#E69F00,WP_335605499.1,Marine sediment■,"Russia: The Pechora Sea, 69.03 N 57.37 E",69.03,57.37
PETase (UUT36764.1),#E69F00,WP_445617810.1,Marine host-associated⬡,"China | China: Rongcheng District, Weihai City, Shandong Province, depth 0 meter, 37.25 N 122.58 E",37.25,122.58
PETase (UUT36764.1),#E69F00,WP_460225302.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea, depth 2.75m, 34.365 N 133.217 E | Japan:Kagoshima, Kagoshima, Kagoshima Bay, depth 5.05m, 31.557 N 130.564 E | Japan:Hiroshima, Onomichi, Seto Inland Sea, depth 2.8m, 34.365 N 133.217 E",34.365,133.217
PETase (UUT36764.1),#E69F00,WP_460225302.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea, depth 2.75m, 34.365 N 133.217 E | Japan:Kagoshima, Kagoshima, Kagoshima Bay, depth 5.05m, 31.557 N 130.564 E | Japan:Hiroshima, Onomichi, Seto Inland Sea, depth 2.8m, 34.365 N 133.217 E",31.557,130.564
PETase (UUT36764.1),#E69F00,WP_416398726.1,Deep-sea / chemosynthetic sediment⬟,"Indian Ocean: Eastern Africa Coastal Province, depth 5-1000m | Arctic Ocean, depth 1m, 85.09 N 95.85 E",85.09,95.85
PETase (UUT36764.1),#E69F00,WP_290577639.1,Deep seawater▼,"Pacific Ocean: South China Sea, depth 700 m, 19.909 N 115.243 E",19.909,115.243
PETase (UUT36764.1),#E69F00,WP_290594301.1,Deep seawater▼,"Pacific Ocean: South China Sea, depth 700 m, 19.909 N 115.243 E | Pacific Ocean: South China Sea, depth 40 m, 19.909 N 115.243 E",19.909,115.243
PETase (UUT36764.1),#E69F00,WP_277688238.1,Deep seawater▼,"Mexico: Gulf of Mexico, depth 1000 m, 25.83 N 95.50 W",25.83,-95.5
PETase (UUT36764.1),#E69F00,WP_139344129.1,Marine host-associated⬡,India: Mandapam coast | Taiwan:Keelung | Taiwan,23.7,121.0
PETase (UUT36764.1),#E69F00,WP_353348434.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea, depth 2.8, 34.365 N 133.217 E",34.365,133.217
PETase (UUT36764.1),#E69F00,WP_353348446.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea, depth 2.8, 34.365 N 133.217 E",34.365,133.217
PETase (UUT36764.1),#E69F00,WP_353352583.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea, depth 2.8, 34.365 N 133.217 E",34.365,133.217
PETase (UUT36764.1),#E69F00,WP_222911733.1,Deep-sea / chemosynthetic sediment⬟,"Indian Ocean: Ninety East Ridge, 16.542142 S 89.289884 E",-16.542142,89.289884
PETase (UUT36764.1),#E69F00,WP_334015429.1,Intertidal / coastal seawater★,"Spain:Blanes,Blanes Bay Microbial Observatory, depth surface, 41.40 N 2.48 E",41.4,2.48
PETase (UUT36764.1),#E69F00,WP_353410588.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea, depth 7.7, 34.365 N 133.217 E | Japan: Yokosuka, depth -3m, 35.31 N 139.64 E",34.365,133.217
PETase (UUT36764.1),#E69F00,WP_353410588.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea, depth 7.7, 34.365 N 133.217 E | Japan: Yokosuka, depth -3m, 35.31 N 139.64 E",35.31,139.64
PETase (UUT36764.1),#E69F00,WP_460238364.1,Plastisphere / marine biofilm✕,"Japan:Kagoshima, Kagoshima, Kagoshima Bay, depth 5.05m, 31.557 N 130.564 E",31.557,130.564
PETase (UUT36764.1),#E69F00,WP_460231427.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea, depth 7.8m, 34.365 N 133.217 E",34.365,133.217
PETase (UUT36764.1),#E69F00,WP_475536341.1,Marine host-associated⬡,"USA: Califronia, Bodega Bay, 38.333446 N 123.058785 W",38.333446,-123.058785
PETase (UUT36764.1),#E69F00,WP_464107829.1,Plastisphere / marine biofilm✕,"Japan:Kagoshima, Kagoshima, Kagoshima Bay, depth 19.1m, 31.557 N 130.564 E",31.557,130.564
PETase (UUT36764.1),#E69F00,WP_134651899.1,Surface seawater●,16.22 N 108.22 E,16.22,108.22
PETase (UUT36764.1),#E69F00,WP_464107832.1,Plastisphere / marine biofilm✕,"Japan:Kagoshima, Kagoshima, Kagoshima Bay, depth 19.1m, 31.557 N 130.564 E",31.557,130.564
